video_title,video,views,comments,likes,dislikes,estimatedMinutesWatched,subscribersGained,subscribersLost
Macro Lenses Explained!,arap67oBV8A,5926,8,323,6,2808,24,0
AI vs Photographers: Explained!,RmcOY83Tiiw,3928,21,280,3,10151,16,17
iPhone 15 Pro Max Filmmaking Kit - Level up your Videos!,QdzKeBIRANQ,5788,10,230,5,10142,17,17
Best Budget Gimbals 2023: FeiyuTech Scorp 2 &amp; Scorp 2 Mini!,y4GRQIor9gY,4188,19,201,1,7364,15,17
400 Cameras in 1 Studio!,LMcxidF6iI8,11213,39,734,4,23573,29,14
She thinks I have a GOOD Camera! 😂 #streetportrait #portraitphotography,-qehWiRq0o4,16595,26,931,12,7746,53,1
Manual Mode v/s Aperture Priority: How to Decide?,m2eorEV6mkA,8765,20,536,1,27252,87,15
This DRONE flies Automatically! HOVERAir X1,3eK_5oDBXZk,3920,17,223,2,8671,8,12
iPhone 15 Pro Max Video Test: LOG vs ProRes vs HEVC,mbtijUVIYdE,38164,37,1030,30,70458,143,17
Mastering the iPhone 15 Pro Max Camera: Under 5 minutes!,gJvokTQxjcc,84730,63,1715,62,194612,355,29
Photographing a Contemporary Dancer #portraitphotography #streetphotography #dance,K-DzOlBseRk,32336,29,1816,10,11524,162,2
Nikon 85mm 1.2S Review: The Ultimate Portrait Lens!,253ZjImT1Eo,26128,41,634,11,60328,125,25
Street Portrait Photography Montreal | Italian Guy #portraitphotography #streetphotography,jCFQuDXuBIk,19376,19,1157,16,6682,76,1
Montreal Street Portrait Photography #montreal #portraitphotography,BzHNLNY0PUc,14715,10,756,5,4572,57,1
The Life Lessons I&#39;ve Learned From Photography,lYG8gnQXbPM,7543,47,838,4,8121,32,23
Mobile Photography: Better Portraits in Seconds!,W6YuAw-D6Mk,18028,15,1019,19,8347,58,0
How To Shoot &amp; Edit Hyperlapses: An In-depth Guide!,Mkv32XTEhUk,6790,16,416,3,22581,37,12
Picture-Perfect Zoom: Mastering Portraits with Oppo Reno10 Pro+,pGLmdXSbtyQ,18404,12,1261,18,10449,44,0
Rhythms in Motion | Oppo Reno 10 Pro+!,LKiZd-8vdPQ,4126,3,226,0,1158,12,0
The Best CINEMATIC Lens of 2023?,_sk9KM5Leew,12253,19,523,5,25256,55,19
SHARP PORTRAITS in Low Light | Photography Hack,5e2Nye2_UtY,206913,94,9652,182,125869,1366,6
Oppo Reno10 Series,-85FhWKDoYM,4569,6,266,5,1380,10,1
ZHIYUN Crane 4 : The Ultimate Gimbal for Filmmakers?,zqK7qFSwtP8,15291,30,498,4,31805,88,34
Zhiyun Crane 4: Cinematic Teaser!,8dpE97wNrRc,5497,26,317,1,2278,13,10
Easy Portrait Photography Tip - Using a Foreground Element,ZD6DQDgNedY,713932,198,24657,596,373968,5569,29
PRODUCT Photography at Home | Masterclass Part 2!,7HljN78jz28,16855,27,739,10,42733,195,21
Simple Portrait Photography Hack | Using Elevation to Add Depth!,1cEBKXz3Hs0,293505,82,10698,383,133765,1838,19
PRODUCT Photography at Home | Masterclass Part 1!,AUzAjc1ita0,38022,41,1338,24,97572,724,31
CINEMATIC Photography: Tips and Techniques!,k-Notxy1FIs,23084,37,1275,11,60503,288,20
Shot on iPhone 14 Pro Max | Dubai (Cinematic 4K),wUwuhFOcHM4,35974,25,626,12,20861,33,21
My Rs. 20 Lakh Camera Setup!,fUl6SMcA52E,18024,58,1189,9,60847,121,29
Photographing FREEZING RAIN in Montreal!,cc43CokFi4g,20121,18,1509,3,5111,38,3
Surreal FREEZING RAIN Photography POV!,kj9iUIjtwwY,21953,111,1727,1,40693,178,28
WHY and HOW to use a POLARIZER Filter? #photography #cameramode #shorts #polarizer #filter,zWeeKFZrIws,39304,10,2479,18,16606,66,2
SKY Replacement: Transform your BORING Photos in Minutes!,keH_4Ef41Xs,5169,18,387,6,9695,31,15
How do I stay Motivated Every Day?,YrwIMMNHO5U,14617,89,1179,9,36954,78,34
Shoot CINEMATIC Video with any iPhone | A Beginners Guide!,DcbZHuNZ67Q,46373,49,1907,23,121939,413,31
6 PHOTOGRAPHY Composition Mistakes (And How to Fix Them),Lhj1ukpKo0U,14086,52,1078,12,61058,130,28
Can Smartphones Ever Match Professional Cameras?,2yPT94PVRBo,10459,34,696,5,31626,29,16
How to Recover DELETED Photos And Videos?,wS8nvQGjwQY,4791,33,347,4,9465,26,25
Best Beginner DRONE 2022 : DJI Mini 3 vs Mini 3 Pro!,X5sSCpbJ-28,27823,15,536,23,81846,129,6
UNREAL Glacial Rivers : Iceland (Shot on DJI Mini 3 Pro) #iceland #dji #drone,lsjjikWCTkE,8424,6,585,1,2591,17,0
Road Trip Through Iceland - A Dream Come True!,YIqLlAWjv18,10019,17,304,0,16595,61,3
8-Bit vs 10-Bit | COLOR DEPTH Explained!,I8JkXrjlbec,2519,3,80,2,6065,29,2
Long Exposure iPhone Photography | In Any Light Conditions!,DJc9Y-56QU8,16064,10,295,9,37454,94,4
Shot on iPhone 14 Pro Max | Iceland (Cinematic 4K),e1K041yvbhA,25053,7,355,0,22209,64,0
iPhone 14 Pro - Action Mode Review | A Gimbal Replacement?,Ann-I3wAf70,9299,1,79,2,14854,28,3
Why Every Photographer should Try STREET Photography?,toODr-JUZuw,4773,9,259,2,13908,28,1
6 Simple Gimbal Tips to Level up Your Filmmaking!,oxi52IxTfio,162383,72,5078,52,438285,3278,47
Improve your LOW LIGHT Photos with this Photo Editing Technique!,O11ldi6Ekso,1482,0,46,0,2594,18,3
Why Every PHOTOGRAPHER Need a 70-200mm Lens?,UTz2VBzDaPk,22951,14,626,10,57277,241,2
How did I Photograph the Supermoon? BTS,Ti2zgm3UAvw,29590,14,2194,19,14165,44,0
I Review and Analyze My PHOTOS! Episode #1,uigu1soemeE,734,0,50,0,2658,7,0
The new LIGHTROOM Update is a GAMECHANGER for Photographers!,mqW7LnSG7z0,4379,2,95,-2,6202,32,5
DJI RS3 | RS3 Pro - BEST just got BETTER | First Look + Sample Footage!,eYV4j7R8hEI,13003,7,203,8,28970,70,3
Photographing Dandelions BTS #shorts,_9-RjrJ1A2w,16706,3,1121,4,6144,75,0
I WENT BACK TO INDIA!,Gir3vn2OcCk,1486,3,46,0,5094,7,1
Nikon Z9 Initial Impressions: A Perfect All-Rounder?,uip5ZhwU8sw,1729,1,44,0,3553,10,0
6 LONG EXPOSURE Photography Mistakes to Avoid!,m8OM1BZa91U,8252,2,243,4,21014,82,1
6 iPhone CAMERA SETTINGS You Must Change ASAP!,VLI2QnoDj7k,2038,1,42,0,5574,10,1
Lightroom Mobile Masterclass - Cinematic Edit Tutorial!,fmWUBEnmHqM,83881,25,2438,31,224237,1084,19
Get Cinematic look in PHOTOS and VIDEOS - Black Mist Filter!,doHq6oiZB7s,8516,3,187,2,19158,70,1
Shutter Speed : Camera Basics under 60 seconds! #Shorts,ApI9AjoxqRc,29068,3,2462,19,16584,379,5
12 Habits Every Photographer Should Have!,fvzThn-8OSc,2095,2,86,1,7197,15,0
Aperture : Camera Basics under 60 seconds! #Shorts,iPJrUqEp-Uw,37194,9,3064,15,24322,626,3
What is the Correct Frame Rate and Shutter Speed for Videos?,dzZwleh5UN4,64912,64,2229,37,232925,971,10
6 Architecture Photography Tips Every Photographer Should Know!,P9d1xOL_coE,18001,6,615,13,57224,277,11
How did I Click this Photo? Ep1 #shorts,Z8CoV5cS33c,13306,5,1137,6,6447,64,0
7 CAMERA SETTINGS You Must Change ASAP!,6BsuVJKNsgE,2390,0,3,0,7005,17,1
Editing Your PHOTOS | Episode 1!,qyGd0q9jyac,1475,0,55,0,4963,11,0
My Favourite CAMERA Accessories for Filmmaking!,5pPl9JRe8w0,837,0,22,0,2015,11,0
Why do I use NIKON for shooting Videos?,DjIex7qFGPY,847,0,24,-1,2910,7,0
MASKING : Adobe Lightroom Tutorial (This is EPIC!),IS7HlVxGVJw,682,0,13,-2,1120,1,1
My new M1 MAX MacBook Pro 16&quot; : MIND BLOWN!,0zaZSDdzzrY,261,0,-6,0,653,1,0
Hyperfocal Distance Explained! WHY and HOW to use it?,WKM_ONzSkq8,8716,1,266,12,30397,77,2
I moved to CANADA - Life Update!,gMsBDJoxPWc,1143,3,7,-1,2767,5,0
iPhone 13 Pro vs iPhone 12 Pro - Camera Comparison | Worth Upgrading?,rHtcwXtjoZU,31184,5,431,30,60069,105,1
INDIA to CANADA (via Maldives) | Vlog 🇨🇦,Ct0nuLitzlo,582,0,-12,0,1144,2,0
Final Cut Pro Tutorial | Beginner to Amateur!,TRHSgfG30-A,30866,17,653,13,76404,364,5
Range Mask in LIGHTROOM - MUST USE TOOL for every PHOTOGRAPHER!,3AmBRJVd6ck,517,0,4,0,996,1,0
DJI RS2 Review: Best GIMBAL for Filmmakers?,T8X8Ji2QDV0,4415,3,50,0,10868,14,0
Photographing Waterfalls | Behind the Scenes!,jpiXuiNV5wI,604,1,-7,0,1822,6,1
A New Beginning - Film by Saurav Sinha,pmHSQ0UT3cY,510,0,-4,0,705,4,0
How to Upload PERFECT QUALITY Photos on Instagram?!,1Dhr3gYWUi8,5934,4,115,1,12409,38,1
5 VIDEOGRAPHY Mistakes to Avoid as a BEGINNER!,k53-VkMn06c,1771,0,28,-1,5463,20,0
DSLR vs Mirrorless Explained! Should you Upgrade?,4t2LIyM1aJI,7073,3,180,4,24710,58,2
I Review Your INSTAGRAM Photos! Part #4,h27bO3Od6YM,375,0,-5,1,1536,2,0
